block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8271700,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271701,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513439930799,536870912000000,uosmo,33688268937176,536870912000000
8271702,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271703,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271704,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271705,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513439930799,536870912000000,uosmo,33688268937176,536870912000000
8271706,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271707,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513439930799,536870912000000,uosmo,33688268937176,536870912000000
8271708,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271709,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271710,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271711,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271712,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271713,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271714,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271715,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271716,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271717,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271718,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513388646904,536870912000000,uosmo,33688955634033,536870912000000
8271719,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271720,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513388646904,536870912000000,uosmo,33688955634033,536870912000000
8271721,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513222197575,536870912000000,uosmo,33691184420980,536870912000000
8271722,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271723,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361179219,536870912000000,uosmo,33689323286787,536870912000000
8271724,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271725,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361205066,536870912000000,uosmo,33689322939984,536870912000000
8271726,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271727,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271728,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361205066,536870912000000,uosmo,33689322939984,536870912000000
8271729,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271730,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271731,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271732,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271733,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271734,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361179219,536870912000000,uosmo,33689323286787,536870912000000
8271735,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271736,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271737,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513209454979,536870912000000,uosmo,33691354834506,536870912000000
8271738,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513222197575,536870912000000,uosmo,33691184420980,536870912000000
8271739,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271740,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361179219,536870912000000,uosmo,33689323286787,536870912000000
8271741,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271742,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361205066,536870912000000,uosmo,33689322939984,536870912000000
8271743,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271744,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513439930799,536870912000000,uosmo,33688268937176,536870912000000
8271745,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271746,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271747,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361179219,536870912000000,uosmo,33689323286787,536870912000000
8271748,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513388646904,536870912000000,uosmo,33688955634033,536870912000000
8271749,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271750,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271751,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271752,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271753,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513222197575,536870912000000,uosmo,33691184420980,536870912000000
8271754,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271755,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271756,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271757,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513388646904,536870912000000,uosmo,33688955634033,536870912000000
8271758,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271759,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271760,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361205066,536870912000000,uosmo,33689322939984,536870912000000
8271761,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271762,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513223454979,536870912000000,uosmo,33691167530980,536870912000000
8271763,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361179219,536870912000000,uosmo,33689323286787,536870912000000
8271764,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271765,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361205066,536870912000000,uosmo,33689322939984,536870912000000
8271766,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361205066,536870912000000,uosmo,33689322939984,536870912000000
8271767,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271768,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271769,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361179219,536870912000000,uosmo,33689323286787,536870912000000
8271770,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513388646904,536870912000000,uosmo,33688955634033,536870912000000
8271771,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513361141992,536870912000000,uosmo,33689323786787,536870912000000
8271772,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271773,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513388646904,536870912000000,uosmo,33688955634033,536870912000000
8271774,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271775,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513439930799,536870912000000,uosmo,33688268937176,536870912000000
8271776,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286375869,536870912000000,uosmo,33690324965091,536870912000000
8271777,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513258765869,536870912000000,uosmo,33690694708028,536870912000000
8271778,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513311370575,536870912000000,uosmo,33689990265830,536870912000000
8271779,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
8271780,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513286370575,536870912000000,uosmo,33690325036202,536870912000000
