block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8272500,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556255063,536870912000000,uosmo,33686537352616,536870912000000
8272501,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556255063,536870912000000,uosmo,33686537352616,536870912000000
8272502,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272503,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272504,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272505,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272506,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513641559471,536870912000000,uosmo,33685397478870,536870912000000
8272507,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513558947526,536870912000000,uosmo,33686501232291,536870912000000
8272508,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513526064859,536870912000000,uosmo,33686942371261,536870912000000
8272509,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272510,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513640429471,536870912000000,uosmo,33685412606902,536870912000000
8272511,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272512,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272513,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272514,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513538983794,536870912000000,uosmo,33686769405569,536870912000000
8272515,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272516,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272517,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513558947526,536870912000000,uosmo,33686501232291,536870912000000
8272518,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513558947526,536870912000000,uosmo,33686501232291,536870912000000
8272519,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513640429471,536870912000000,uosmo,33685412606902,536870912000000
8272520,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272521,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513641559471,536870912000000,uosmo,33685397478870,536870912000000
8272522,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272523,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272524,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272525,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513558947526,536870912000000,uosmo,33686501232291,536870912000000
8272526,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272527,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556255063,536870912000000,uosmo,33686537352616,536870912000000
8272528,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513558947526,536870912000000,uosmo,33686501232291,536870912000000
8272529,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513526064859,536870912000000,uosmo,33686942371261,536870912000000
8272530,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513536153114,536870912000000,uosmo,33686807030995,536870912000000
8272531,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556027837,536870912000000,uosmo,33686540277117,536870912000000
8272532,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556255063,536870912000000,uosmo,33686537352616,536870912000000
8272533,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556255063,536870912000000,uosmo,33686537352616,536870912000000
8272534,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513538983794,536870912000000,uosmo,33686769405569,536870912000000
8272535,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513558947526,536870912000000,uosmo,33686501232291,536870912000000
8272536,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513640429471,536870912000000,uosmo,33685412606902,536870912000000
8272537,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513538983794,536870912000000,uosmo,33686769405569,536870912000000
8272538,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513556255063,536870912000000,uosmo,33686537352616,536870912000000
