block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8290100,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290101,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744632622,536870912000000,uosmo,33810774061342,536870912000000
8290102,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290103,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290104,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744632622,536870912000000,uosmo,33810774061342,536870912000000
8290105,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290106,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290107,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290108,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290109,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290110,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503819715290,536870912000000,uosmo,33809761917399,536870912000000
8290111,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503792765083,536870912000000,uosmo,33810126202392,536870912000000
8290112,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503819715290,536870912000000,uosmo,33809761917399,536870912000000
8290113,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290114,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290115,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744632622,536870912000000,uosmo,33810774061342,536870912000000
8290116,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290117,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503819715290,536870912000000,uosmo,33809761917399,536870912000000
8290118,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290119,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290120,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290121,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290122,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290123,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744030515,536870912000000,uosmo,33810782167973,536870912000000
8290124,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290125,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503792765083,536870912000000,uosmo,33810126202392,536870912000000
8290126,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768576373,536870912000000,uosmo,33810453239599,536870912000000
8290127,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503792765083,536870912000000,uosmo,33810126202392,536870912000000
8290128,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503819715290,536870912000000,uosmo,33809761917399,536870912000000
8290129,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290130,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503823632622,536870912000000,uosmo,33809708879650,536870912000000
8290131,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290132,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503744632622,536870912000000,uosmo,33810774061342,536870912000000
8290133,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290134,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503823632622,536870912000000,uosmo,33809708879650,536870912000000
8290135,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290136,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290137,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503792765083,536870912000000,uosmo,33810126202392,536870912000000
8290138,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290139,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503823632622,536870912000000,uosmo,33809708879650,536870912000000
8290140,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290141,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503724632622,536870912000000,uosmo,33811044415504,536870912000000
8290142,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503768091373,536870912000000,uosmo,33810459782406,536870912000000
8290143,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2503823632622,536870912000000,uosmo,33809708879650,536870912000000
