block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8275300,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513304033997,536870912000000,uosmo,33689734583050,536870912000000
8275301,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513282330022,536870912000000,uosmo,33690026947391,536870912000000
8275302,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513282330022,536870912000000,uosmo,33690026947391,536870912000000
8275303,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513276931261,536870912000000,uosmo,33690101672325,536870912000000
8275304,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275305,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513304033997,536870912000000,uosmo,33689734583050,536870912000000
8275306,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275307,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513268235295,536870912000000,uosmo,33690216618978,536870912000000
8275308,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513282330022,536870912000000,uosmo,33690026947391,536870912000000
8275309,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513282330022,536870912000000,uosmo,33690026947391,536870912000000
8275310,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513277071541,536870912000000,uosmo,33690099795654,536870912000000
8275311,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513282330022,536870912000000,uosmo,33690026947391,536870912000000
