block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8292500,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292501,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292502,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510084232295,536870912000000,uosmo,33725254648032,536870912000000
8292503,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510084232295,536870912000000,uosmo,33725254648032,536870912000000
8292504,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510132954845,536870912000000,uosmo,33724601518943,536870912000000
8292505,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292506,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146796158,536870912000000,uosmo,33724415937497,536870912000000
8292507,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510145159348,536870912000000,uosmo,33724437953465,536870912000000
8292508,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510145159348,536870912000000,uosmo,33724437953465,536870912000000
8292509,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510077231423,536870912000000,uosmo,33725348899859,536870912000000
8292510,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292511,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292512,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292513,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510084232295,536870912000000,uosmo,33725254648032,536870912000000
8292514,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510084232295,536870912000000,uosmo,33725254648032,536870912000000
8292515,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146131879,536870912000000,uosmo,33724424853319,536870912000000
8292516,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510077231423,536870912000000,uosmo,33725348899859,536870912000000
8292517,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146796158,536870912000000,uosmo,33724415937497,536870912000000
8292518,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292519,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292520,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510077231423,536870912000000,uosmo,33725348899859,536870912000000
8292521,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146131879,536870912000000,uosmo,33724424853319,536870912000000
8292522,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146131879,536870912000000,uosmo,33724424853319,536870912000000
8292523,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510085441472,536870912000000,uosmo,33725238385377,536870912000000
8292524,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510077231423,536870912000000,uosmo,33725348899859,536870912000000
8292525,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510084232295,536870912000000,uosmo,33725254648032,536870912000000
8292526,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510077231423,536870912000000,uosmo,33725348899859,536870912000000
8292527,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146546158,536870912000000,uosmo,33724419292947,536870912000000
8292528,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510084232295,536870912000000,uosmo,33725254648032,536870912000000
8292529,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146131879,536870912000000,uosmo,33724424853319,536870912000000
8292530,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146796158,536870912000000,uosmo,33724415937497,536870912000000
8292531,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146796158,536870912000000,uosmo,33724415937497,536870912000000
8292532,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2510146796158,536870912000000,uosmo,33724415937497,536870912000000
