block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8274000,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274001,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274002,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274003,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274004,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274005,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274006,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274007,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274008,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274009,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274010,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274011,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274012,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274013,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274014,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274015,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274016,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274017,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274018,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274019,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274020,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274021,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274022,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274023,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274024,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274025,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274026,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274027,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274028,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511947654417,536870912000000,uosmo,33708522702628,536870912000000
8274029,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274030,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274031,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274032,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274033,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274034,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511983784460,536870912000000,uosmo,33708037168980,536870912000000
8274035,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274036,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274037,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274038,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274039,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511947654417,536870912000000,uosmo,33708522702628,536870912000000
8274040,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274041,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932875439,536870912000000,uosmo,33708722467433,536870912000000
8274042,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274043,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274044,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274045,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274046,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932862375,536870912000000,uosmo,33708722641891,536870912000000
8274047,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274048,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274049,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511980177373,536870912000000,uosmo,33708084084824,536870912000000
8274050,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511947654417,536870912000000,uosmo,33708522702628,536870912000000
8274051,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274052,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274053,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932862375,536870912000000,uosmo,33708722641891,536870912000000
8274054,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511983784460,536870912000000,uosmo,33708037168980,536870912000000
8274055,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274056,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932862375,536870912000000,uosmo,33708722641891,536870912000000
8274057,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511947654417,536870912000000,uosmo,33708522702628,536870912000000
8274058,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511984070194,536870912000000,uosmo,33708032676097,536870912000000
8274059,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274060,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511983784460,536870912000000,uosmo,33708037168980,536870912000000
8274061,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274062,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511947654417,536870912000000,uosmo,33708522702628,536870912000000
8274063,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274064,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511983784460,536870912000000,uosmo,33708037168980,536870912000000
8274065,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511947654417,536870912000000,uosmo,33708522702628,536870912000000
8274066,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274067,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274068,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274069,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932862375,536870912000000,uosmo,33708722641891,536870912000000
8274070,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932875439,536870912000000,uosmo,33708722467433,536870912000000
8274071,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511983784460,536870912000000,uosmo,33708037168980,536870912000000
8274072,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274073,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274074,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511978019078,536870912000000,uosmo,33708113794340,536870912000000
8274075,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511932862375,536870912000000,uosmo,33708722641891,536870912000000
8274076,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274077,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274078,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274079,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927600937,536870912000000,uosmo,33708792078097,536870912000000
8274080,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274081,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274082,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511983784460,536870912000000,uosmo,33708037168980,536870912000000
8274083,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
8274084,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511927654417,536870912000000,uosmo,33708791358972,536870912000000
8274085,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511963784460,536870912000000,uosmo,33708305817590,536870912000000
8274086,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2511951890125,536870912000000,uosmo,33708466790442,536870912000000
