block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8291200,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291201,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506623502580,536870912000000,uosmo,33771696032666,536870912000000
8291202,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506623502580,536870912000000,uosmo,33771696032666,536870912000000
8291203,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291204,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291205,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506643086672,536870912000000,uosmo,33771432609923,536870912000000
8291206,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291207,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291208,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291209,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291210,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291211,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506632244707,536870912000000,uosmo,33771578014478,536870912000000
8291212,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291213,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506622613501,536870912000000,uosmo,33771708033771,536870912000000
8291214,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291215,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291216,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506683492445,536870912000000,uosmo,33770888828356,536870912000000
8291217,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291218,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291219,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291220,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291221,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506688937878,536870912000000,uosmo,33770816091691,536870912000000
8291222,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291223,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506623502580,536870912000000,uosmo,33771696032666,536870912000000
8291224,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291225,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506688937878,536870912000000,uosmo,33770816091691,536870912000000
8291226,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506632244707,536870912000000,uosmo,33771578014478,536870912000000
8291227,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291228,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291229,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506643086672,536870912000000,uosmo,33771432609923,536870912000000
8291230,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291231,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291232,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506643086672,536870912000000,uosmo,33771432609923,536870912000000
8291233,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291234,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506623502580,536870912000000,uosmo,33771696032666,536870912000000
8291235,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506708937878,536870912000000,uosmo,33770546917676,536870912000000
8291236,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506708937878,536870912000000,uosmo,33770546917676,536870912000000
8291237,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506688937878,536870912000000,uosmo,33770816091691,536870912000000
8291238,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506622613501,536870912000000,uosmo,33771708033771,536870912000000
8291239,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506632139299,536870912000000,uosmo,33771579437484,536870912000000
8291240,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291241,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291242,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506683492445,536870912000000,uosmo,33770888828356,536870912000000
8291243,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291244,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291245,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506663492445,536870912000000,uosmo,33771158007829,536870912000000
8291246,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291247,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506708937878,536870912000000,uosmo,33770546917676,536870912000000
8291248,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506683492445,536870912000000,uosmo,33770888828356,536870912000000
8291249,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291250,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506708330850,536870912000000,uosmo,33770555103791,536870912000000
8291251,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506623502580,536870912000000,uosmo,33771696032666,536870912000000
8291252,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291253,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506639469290,536870912000000,uosmo,33771480581318,536870912000000
8291254,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506708937878,536870912000000,uosmo,33770546917676,536870912000000
8291255,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291256,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506632139299,536870912000000,uosmo,33771579437484,536870912000000
8291257,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506643086672,536870912000000,uosmo,33771432609923,536870912000000
8291258,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291259,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506632139299,536870912000000,uosmo,33771579437484,536870912000000
8291260,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506662747709,536870912000000,uosmo,33771168001931,536870912000000
8291261,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506683492445,536870912000000,uosmo,33770888828356,536870912000000
8291262,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506683492445,536870912000000,uosmo,33770888828356,536870912000000
8291263,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506622613501,536870912000000,uosmo,33771708033771,536870912000000
8291264,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291265,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291266,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506683492445,536870912000000,uosmo,33770888828356,536870912000000
8291267,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
8291268,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506643086672,536870912000000,uosmo,33771432609923,536870912000000
8291269,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506625432886,536870912000000,uosmo,33771670124232,536870912000000
