block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8271500,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271501,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513376126411,536870912000000,uosmo,33689118556936,536870912000000
8271502,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513376126411,536870912000000,uosmo,33689118556936,536870912000000
8271503,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513376126411,536870912000000,uosmo,33689118556936,536870912000000
8271504,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513259797201,536870912000000,uosmo,33690681013246,536870912000000
8271505,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271506,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513265724630,536870912000000,uosmo,33690600734145,536870912000000
8271507,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513262287811,536870912000000,uosmo,33690646054677,536870912000000
8271508,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513244597201,536870912000000,uosmo,33690884553252,536870912000000
8271509,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271510,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271511,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513262287811,536870912000000,uosmo,33690646054677,536870912000000
8271512,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271513,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271514,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513262287811,536870912000000,uosmo,33690646054677,536870912000000
8271515,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513283510853,536870912000000,uosmo,33690361257884,536870912000000
8271516,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513245797201,536870912000000,uosmo,33690868499032,536870912000000
