block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8291100,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291101,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291102,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291103,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291104,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506238697791,536870912000000,uosmo,33776873830060,536870912000000
8291105,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589810021,536870912000000,uosmo,33772148961662,536870912000000
8291106,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291107,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506608501247,536870912000000,uosmo,33771896799457,536870912000000
8291108,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291109,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291110,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506589469290,536870912000000,uosmo,33772153561662,536870912000000
8291111,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291112,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291113,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291114,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291115,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506329697791,536870912000000,uosmo,33775648683222,536870912000000
8291116,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291117,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291118,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506238697791,536870912000000,uosmo,33776873830060,536870912000000
8291119,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506238697791,536870912000000,uosmo,33776873830060,536870912000000
8291120,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506609810021,536870912000000,uosmo,33771879227182,536870912000000
8291121,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506308118745,536870912000000,uosmo,33775939792692,536870912000000
8291122,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2506608501247,536870912000000,uosmo,33771896799457,536870912000000
