block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8275900,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275901,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512812644274,536870912000000,uosmo,33695958883748,536870912000000
8275902,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275903,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275904,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512487713753,536870912000000,uosmo,33700433878630,536870912000000
8275905,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512812644274,536870912000000,uosmo,33695958883748,536870912000000
8275906,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227636383,536870912000000
8275907,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275908,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512812644274,536870912000000,uosmo,33695958883748,536870912000000
8275909,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275910,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512505891374,536870912000000,uosmo,33700190548442,536870912000000
8275911,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275912,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512490035224,536870912000000,uosmo,33700402802642,536870912000000
8275913,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512487713753,536870912000000,uosmo,33700433878630,536870912000000
8275914,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227636383,536870912000000
8275915,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
8275916,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227636383,536870912000000
8275917,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512792582651,536870912000000,uosmo,33696227430873,536870912000000
