block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8271600,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271601,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513265472731,536870912000000,uosmo,33690605818553,536870912000000
8271602,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271603,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271604,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513196388560,536870912000000,uosmo,33691529545632,536870912000000
8271605,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513264499396,536870912000000,uosmo,33690618836128,536870912000000
8271606,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271607,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271608,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513265472731,536870912000000,uosmo,33690605818553,536870912000000
8271609,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271610,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271611,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513265472731,536870912000000,uosmo,33690605818553,536870912000000
8271612,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271613,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513236881337,536870912000000,uosmo,33690989477430,536870912000000
8271614,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271615,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513214875445,536870912000000,uosmo,33691284773495,536870912000000
8271616,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271617,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513264499396,536870912000000,uosmo,33690618836128,536870912000000
8271618,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271619,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271620,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513264499396,536870912000000,uosmo,33690618836128,536870912000000
8271621,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513225067089,536870912000000,uosmo,33691148011640,536870912000000
8271622,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271623,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513284899938,536870912000000,uosmo,33690345087442,536870912000000
8271624,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513265472731,536870912000000,uosmo,33690605818553,536870912000000
