block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8275400,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275401,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513309714610,536870912000000,uosmo,33689666670868,536870912000000
8275402,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275403,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513289714610,536870912000000,uosmo,33689935031415,536870912000000
8275404,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513309714610,536870912000000,uosmo,33689666670868,536870912000000
8275405,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275406,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275407,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275408,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275409,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275410,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275411,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513289714610,536870912000000,uosmo,33689935031415,536870912000000
8275412,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513359641518,536870912000000,uosmo,33688995292342,536870912000000
8275413,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275414,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275415,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513359641518,536870912000000,uosmo,33688995292342,536870912000000
8275416,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275417,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
8275418,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513359641518,536870912000000,uosmo,33688995292342,536870912000000
8275419,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513289714610,536870912000000,uosmo,33689935031415,536870912000000
8275420,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2513312271541,536870912000000,uosmo,33689628427437,536870912000000
