block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8291900,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291901,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291902,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508409907623,536870912000000,uosmo,33747643477832,536870912000000
8291903,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508294202067,536870912000000,uosmo,33749198397974,536870912000000
8291904,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508291656802,536870912000000,uosmo,33749232688129,536870912000000
8291905,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508291656802,536870912000000,uosmo,33749232688129,536870912000000
8291906,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291907,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291908,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291909,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291910,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291911,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291912,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508409907623,536870912000000,uosmo,33747643477832,536870912000000
8291913,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508241249027,536870912000000,uosmo,33749910138895,536870912000000
8291914,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508409907623,536870912000000,uosmo,33747643477832,536870912000000
8291915,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508294342625,536870912000000,uosmo,33749196510544,536870912000000
8291916,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508409907623,536870912000000,uosmo,33747643477832,536870912000000
8291917,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508409907623,536870912000000,uosmo,33747643477832,536870912000000
8291918,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508294342625,536870912000000,uosmo,33749196510544,536870912000000
8291919,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508409907623,536870912000000,uosmo,33747643477832,536870912000000
8291920,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508291656802,536870912000000,uosmo,33749232688129,536870912000000
8291921,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2508340029455,536870912000000,uosmo,33748582685778,536870912000000
